wave,control_id,control_name,target_id,repository_name,decision,rationale,decision_owner,decision_source
2D,EMS-CTRL-021,SBOM Generation,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-021,SBOM Generation,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-021,SBOM Generation,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-022,Security Advisory Monitoring,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-023,Vulnerability Remediation Targets,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-023,Vulnerability Remediation Targets,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-023,Vulnerability Remediation Targets,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-023,Vulnerability Remediation Targets,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-023,Vulnerability Remediation Targets,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-023,Vulnerability Remediation Targets,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-023,Vulnerability Remediation Targets,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-024,Security Exception Approval,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-024,Security Exception Approval,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-024,Security Exception Approval,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-024,Security Exception Approval,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-024,Security Exception Approval,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-024,Security Exception Approval,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-024,Security Exception Approval,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-025,Unit Test Minimum,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-025,Unit Test Minimum,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-025,Unit Test Minimum,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-025,Unit Test Minimum,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-025,Unit Test Minimum,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-025,Unit Test Minimum,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-025,Unit Test Minimum,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-026,Integration Testing,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-026,Integration Testing,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-026,Integration Testing,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-026,Integration Testing,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-026,Integration Testing,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-026,Integration Testing,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-026,Integration Testing,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-027,Regression Testing,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-027,Regression Testing,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-027,Regression Testing,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-027,Regression Testing,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-027,Regression Testing,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-027,Regression Testing,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-027,Regression Testing,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-028,Contract/API Testing,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-028,Contract/API Testing,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-028,Contract/API Testing,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-028,Contract/API Testing,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-028,Contract/API Testing,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-028,Contract/API Testing,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-028,Contract/API Testing,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-029,Performance Testing,REPO-001,bluto,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-029,Performance Testing,REPO-002,fiskroad,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-029,Performance Testing,REPO-003,hometown,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-029,Performance Testing,REPO-004,nono,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-029,Performance Testing,REPO-005,olive,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-029,Performance Testing,REPO-006,popeye,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-029,Performance Testing,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-030,Disaster Recovery Testing,REPO-001,bluto,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-030,Disaster Recovery Testing,REPO-002,fiskroad,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-030,Disaster Recovery Testing,REPO-003,hometown,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-030,Disaster Recovery Testing,REPO-004,nono,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-030,Disaster Recovery Testing,REPO-005,olive,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-030,Disaster Recovery Testing,REPO-006,popeye,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-030,Disaster Recovery Testing,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-031,Test Evidence Retention,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-031,Test Evidence Retention,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-031,Test Evidence Retention,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-031,Test Evidence Retention,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-031,Test Evidence Retention,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-031,Test Evidence Retention,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-031,Test Evidence Retention,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-032,Test Environment Isolation,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-032,Test Environment Isolation,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-032,Test Environment Isolation,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-032,Test Environment Isolation,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-032,Test Environment Isolation,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-032,Test Environment Isolation,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-032,Test Environment Isolation,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-033,Reproducible Builds,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-033,Reproducible Builds,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-033,Reproducible Builds,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-033,Reproducible Builds,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-033,Reproducible Builds,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-033,Reproducible Builds,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-033,Reproducible Builds,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-034,Release Manifest Generation,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-034,Release Manifest Generation,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-034,Release Manifest Generation,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-034,Release Manifest Generation,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-034,Release Manifest Generation,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-034,Release Manifest Generation,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-034,Release Manifest Generation,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-035,SHA-256 Integrity Verification,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-035,SHA-256 Integrity Verification,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-035,SHA-256 Integrity Verification,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-035,SHA-256 Integrity Verification,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-035,SHA-256 Integrity Verification,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-035,SHA-256 Integrity Verification,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-035,SHA-256 Integrity Verification,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-036,Release Signing,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-036,Release Signing,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-036,Release Signing,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-036,Release Signing,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-036,Release Signing,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-036,Release Signing,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-036,Release Signing,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-037,Build Artifact Retention,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-037,Build Artifact Retention,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-037,Build Artifact Retention,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-037,Build Artifact Retention,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-037,Build Artifact Retention,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-037,Build Artifact Retention,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-037,Build Artifact Retention,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-038,Version Number Governance,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-038,Version Number Governance,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-038,Version Number Governance,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-038,Version Number Governance,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-038,Version Number Governance,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-038,Version Number Governance,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-038,Version Number Governance,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-039,Release Approval Workflow,REPO-001,bluto,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-039,Release Approval Workflow,REPO-002,fiskroad,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-039,Release Approval Workflow,REPO-003,hometown,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-039,Release Approval Workflow,REPO-004,nono,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-039,Release Approval Workflow,REPO-005,olive,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-039,Release Approval Workflow,REPO-006,popeye,APPLICABLE,General engineering/repository control applies to registered Wave 2D product repository.,Engineering Management,POLICY_DEFAULT_REPOSITORY
2D,EMS-CTRL-039,Release Approval Workflow,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-040,Rollback Procedure,REPO-001,bluto,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-040,Rollback Procedure,REPO-002,fiskroad,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-040,Rollback Procedure,REPO-003,hometown,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-040,Rollback Procedure,REPO-004,nono,NOT_APPLICABLE,Service/production control is not applicable because repository is classified non-production.,Engineering Management,POLICY_NON_PRODUCTION
2D,EMS-CTRL-040,Rollback Procedure,REPO-005,olive,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-040,Rollback Procedure,REPO-006,popeye,APPLICABLE,Service/production control applies because repository is classified as production.,Engineering Management,POLICY_PRODUCTION
2D,EMS-CTRL-040,Rollback Procedure,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-001,bluto,APPLICABLE,Repository content contains evidence relevant to this control: .github/workflows/wp002-ci.yml; docs/01-foundation-governance/adrs/ADR-0014-PROPOSED-INFRASTRUCTURE-AS-CODE.md; implementation/decisions/TECHNOLOGY-SELECTION-SUMMARY.md; implementation/plan/MASTER-IMPLEMENTATION-PLAN.md; implementation/plan/WORK-PACKAGE-INDEX.yaml,Engineering Management,HUMAN_REPOSITORY_EVIDENCE_REVIEW
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-002,fiskroad,APPLICABLE,Repository content contains evidence relevant to this control: README.md; STATE.md; docs/AGENT_COORDINATION.md; docs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md; specs/COMMERCIAL_COMPONENTS_TIMING_v0.1.md,Engineering Management,HUMAN_REPOSITORY_EVIDENCE_REVIEW
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-003,hometown,APPLICABLE,Repository content contains evidence relevant to this control: specs/HOMETOWN_IMPLEMENTATION_REVIEW_v0.1.md; specs/NEXUS_CRM_INTEGRATION_NOTES_v0.1.md; specs/ROADMAP.md; specs/STATE.md; specs/attic/HOMETOWN_INFRA_TERRAFORM_SUPERSEDED_v0.1.md,Engineering Management,HUMAN_REPOSITORY_EVIDENCE_REVIEW
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-004,nono,APPLICABLE,Repository content contains evidence relevant to this control: .planning/REQUIREMENTS.md; proj/POC-zt-infra-e5-local-provisioner.md; .claude/worktrees/agent-a0e20603/crates/nono/src/trust/policy.rs; .claude/worktrees/agent-a0e20603/crates/nono-cli/data/policy.json; .claude/worktrees/agent-a58db889/crates/nono/src/trust/policy.rs,Engineering Management,HUMAN_REPOSITORY_EVIDENCE_REVIEW
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-005,olive,APPLICABLE,No repository-content evidence was detected; absence of evidence is not sufficient to conclude NOT_APPLICABLE.,Engineering Management,HUMAN_REPOSITORY_EVIDENCE_REVIEW
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-006,popeye,APPLICABLE,Repository content contains evidence relevant to this control: README.md; STATE.md; config/litellm.azure.example.yaml; scripts/intune-baseurl-profile.ps1; specs/ADR-002-gateway-config-delivery.md,Engineering Management,HUMAN_REPOSITORY_EVIDENCE_REVIEW
2D,EMS-CTRL-041,Infrastructure as Code Required,REPO-EMS,ems,APPLICABLE,EMS repository is the authoritative target for EMS/organization controls and its own engineering controls.,Engineering Management,POLICY_EMS_TARGET
